,b,se,pval,BH_adjPval,EntrezGeneID,GeneSymbol
7061,0.063389231,0.087337197,0.467962137,0.825151418,830,CAPZA2
4011,0.054908335,0.075664618,0.46803468,0.825151418,4131,MAP1B
2466,-0.027782801,0.038289947,0.468090183,0.825151418,2475,MTOR
4978,0.024685852,0.034035366,0.468267982,0.825206262,54491,OTULINL
7818,-0.122219646,0.168536918,0.46834145,0.825206262,9283,GPR37L1
5226,-0.028943651,0.03992514,0.468483913,0.825206262,5606,MAP2K3
3274,0.022183054,0.030601603,0.468514344,0.825206262,3084,NRG1
7073,0.03392913,0.046828571,0.468734837,0.825421506,832,CAPZB
2750,0.02849765,0.03935248,0.468965053,0.825581545,26268,FBXO9
6153,0.021165853,0.029236947,0.46910137,0.825581545,672,BRCA1
2132,0.035728353,0.049354651,0.46912064,0.825581545,23199,GSE1
4155,0.033165247,0.045850713,0.469476482,0.825915759,434,ASIP
2104,-0.077857997,0.107682297,0.469658797,0.825915759,23169,SLC35D1
4371,-0.02470949,0.034186111,0.469806917,0.825915759,4798,NFRKB
1443,-0.057435766,0.079497204,0.469994573,0.825915759,178,AGL
6703,0.034344581,0.047537416,0.47000267,0.825915759,7552,ZNF711
6856,-0.027697895,0.038343131,0.470067551,0.825915759,7917,BAG6
7040,0.031931649,0.044218833,0.470215897,0.825915759,8237,USP11
6180,-0.034812874,0.048215051,0.470273987,0.825915759,6755,SSTR5
6287,0.039592107,0.054846316,0.470372205,0.825915759,6902,TBCA
3470,0.043682228,0.060514485,0.470388253,0.825915759,3394,IRF8
6137,-0.02653559,0.036763955,0.470428023,0.825915759,6698,SPRR1A
4144,0.025044433,0.034715896,0.47065661,0.825915759,4325,MMP16
3604,-0.037238355,0.051628064,0.470736481,0.825915759,3613,IMPA2
7885,-0.032282028,0.044774893,0.470918724,0.825915759,9390,SLC22A13
4965,-0.059928802,0.083123543,0.470933738,0.825915759,54440,SASH3
899,-0.042276782,0.05865389,0.471042459,0.825915759,11330,CTRC
479,0.024384042,0.033833307,0.471087248,0.825915759,10613,ERLIN1
2948,-0.021834759,0.030301848,0.47117095,0.825915759,27352,SGSM3
2540,-0.052841817,0.073334188,0.471179138,0.825915759,25777,SUN2
5721,-0.022684488,0.031491732,0.471320891,0.825991829,622,BDH1
7107,0.025751752,0.035810225,0.472068642,0.82712966,83752,LONP2
4821,-0.024012829,0.033412724,0.472342304,0.827436519,5276,SERPINI2
2079,0.048519372,0.067569844,0.472718743,0.82783844,23140,ZZEF1
436,-0.052989402,0.073842982,0.473006647,0.82783844,10555,AGPAT2
7527,0.023985571,0.033428587,0.473055304,0.82783844,8893,EIF2B5
2595,-0.024158842,0.033673924,0.473105908,0.82783844,25888,ZNF473
722,0.042869693,0.059761344,0.473159263,0.82783844,1102,RCBTB2
3289,0.027297606,0.038053832,0.473163195,0.82783844,31,ACACA
4773,0.039348007,0.054867649,0.473285234,0.827879483,5209,PFKFB3
7354,0.028265061,0.039430088,0.473472878,0.828035241,8658,TNKS
