"","Iwamoto_BipolarEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_BipolarSamplingVariance","GeneSymbol"
"218",-0.025293453,"10249","GLYAT",0.00679446436095898,"GLYAT"
"219",0.037290531,"1025","CDK9",0.00914659176467305,"CDK9"
"220",0.051517107,"10252","SPRY1",0.00618969446664101,"SPRY1"
"221",0.088429567,"10253","SPRY2",0.0195729113898168,"SPRY2"
"222",0.00697621,"10254","STAM2",0.00677110907061181,"STAM2"
"223",-0.159081861,"10255","HCG9",0.00825665745417283,"HCG9"
"224",-0.168358254,"10256","CNKSR1",0.00356390423164676,"CNKSR1"
"225",0.040475707,"10257","ABCC4",0.00270060481745491,"ABCC4"
"226",0.299658898,"1026","CDKN1A",0.0412238518379308,"CDKN1A"
"227",0.057717579,"10260","DENND4A",0.00458058998826831,"DENND4A"
"228",-0.005809384,"10261","IGSF6",0.00303461458489296,"IGSF6"
"229",-0.02153589,"10262","SF3B4",0.00682132642177789,"SF3B4"
"230",-0.088460375,"10263","CDK2AP2",0.00568274337582821,"CDK2AP2"
"231",-0.028220024,"10265","IRX5",0.00622953145422627,"IRX5"
"232",-0.138541271,"10266","RAMP2",0.00859877039394874,"RAMP2"
"233",0.037284608,"10267","RAMP1",0.0182574811119373,"RAMP1"
"234",-0.032256911,"10268","RAMP3",0.00733896511816496,"RAMP3"
"235",0.046255104,"10269","ZMPSTE24",0.00551662627909262,"ZMPSTE24"
"236",0.099440402,"1027","CDKN1B",0.0045620725696086,"CDKN1B"
"237",0.036474559,"10270","AKAP8",0.00474303989355454,"AKAP8"
"238",0.010490137,"10272","FSTL3",0.00482389615368818,"FSTL3"
"239",0.126003463,"102724262","LOC102724262",0.0345451417070714,"LOC102724262"
"240",-0.024322215,"102724748","LOC102724748",0.00311532933273105,"LOC102724748"
"241",0.013015333,"10274","STAG1",0.00530263400098644,"STAG1"
"242",0.125052916,"10276","NET1",0.00585654140634074,"NET1"
"243",-0.070582578,"10277","UBE4B",0.00218746862263542,"UBE4B"
"244",-0.180220556,"10278","EFS",0.0337084800845744,"EFS"
"245",-0.010398149,"10279","PRSS16",0.00683246871271181,"PRSS16"
"246",-0.297686211,"1028","CDKN1C",0.0671954739867521,"CDKN1C"
"247",-0.031267498,"10280","SIGMAR1",0.00478015239877113,"SIGMAR1"
"248",0.091870076,"10281","DSCR4",0.0094578808713331,"DSCR4"
"249",0.009978458,"10282","BET1",0.0071184950802635,"BET1"
"250",0.058685803,"10284","SAP18",0.00704606164252775,"SAP18"
"251",0.047013996,"10285","SMNDC1",0.0068263750260717,"SMNDC1"
"252",-0.012804068,"10286","BCAS2",0.0288246313388931,"BCAS2"
"253",-0.026859915,"10287","RGS19",0.00361183355179727,"RGS19"
"254",-0.144903842,"10288","LILRB2",0.0039721601782072,"LILRB2"
"255",0.074841703,"10289","EIF1B",0.0227521275588511,"EIF1B"
"256",-0.017977561,"1029","CDKN2A",0.00482019877432248,"CDKN2A"
"257",0.104898993,"10290","SPEG",0.00695255030803741,"SPEG"
"258",0.052925925,"10291","SF3A1",0.00756872350813175,"SF3A1"
"259",0.083172514,"10293","TRAIP",0.00596944095508196,"TRAIP"
"260",0.07125213,"10294","DNAJA2",0.00612911073030103,"DNAJA2"
"261",-0.009748934,"10295","BCKDK",0.00593757277113032,"BCKDK"
"262",-0.007461114,"10296","MAEA",0.00899623765505968,"MAEA"
"263",0.049839106,"10297","APC2",0.00874456596100975,"APC2"
"264",-0.053253019,"10298","PAK4",0.00402774252418452,"PAK4"
"265",-0.02290124,"10299","MARCHF6",0.00514297060584497,"MARCHF6"
"266",-0.013228865,"103","ADAR",0.00647518349948515,"ADAR"
"267",-0.020779382,"1030","CDKN2B",0.00715821261832596,"CDKN2B"
"268",-0.007396183,"10300","KATNB1",0.0042302356762102,"KATNB1"
"269",0.081260468,"10301","DLEU1",0.00920250745336496,"DLEU1"
"270",0.022370822,"10302","SNAPC5",0.0098999938652848,"SNAPC5"
"271",-0.165241116,"10307","APBB3",0.00524917768672604,"APBB3"
"272",0.032523962,"10308","ZNF267",0.00590978378647156,"ZNF267"
"273",0.030522543,"10309","CCNO",0.0125049430574198,"CCNO"
"274",0.049447126,"1031","CDKN2C",0.00342074437903766,"CDKN2C"
"275",0.031714546,"10311","VPS26C",0.00419721092344468,"VPS26C"
"276",0.014307721,"10312","TCIRG1",0.00626632020963273,"TCIRG1"
"277",-0.034536395,"10314","LANCL1",0.0137014337606515,"LANCL1"
"278",0.020440877,"10317","B3GALT5",0.00476295602330243,"B3GALT5"
"279",-0.005378881,"10318","TNIP1",0.00219742394551093,"TNIP1"
"280",0.01046055,"1032","CDKN2D",0.00641388762468754,"CDKN2D"
"281",-0.072706976,"10320","IKZF1",0.00384761612766993,"IKZF1"
"282",0.051863774,"10321","CRISP3",0.00473874553177164,"CRISP3"
"283",-0.048759329,"10322","SMYD5",0.00285870919146729,"SMYD5"
"284",0.036557731,"10325","RRAGB",0.00917243981437788,"RRAGB"
"285",-0.014074968,"10326","SIRPB1",0.0101995285336827,"SIRPB1"
"286",-0.019825461,"10327","AKR1A1",0.00482867359317388,"AKR1A1"
"287",0.039893598,"10329","RXYLT1",0.00976527067148665,"RXYLT1"
"288",-0.035903656,"1033","CDKN3",0.00630015869711944,"CDKN3"
"289",-0.116153091,"10330","CNPY2",0.00942173905834373,"CNPY2"
"290",-0.033275939,"10331","B3GNT3",0.00422217864152324,"B3GNT3"
"291",0.091409494,"10332","CLEC4M",0.0100769600743007,"CLEC4M"
"292",-0.008091624,"10333","TLR6",0.00483858502378613,"TLR6"
"293",2.06e-05,"103344931","LOC103344931",0.00934775204475392,"LOC103344931"
"294",0.058923188,"10336","PCGF3",0.00326102234283443,"PCGF3"
"295",0.037505112,"10346","TRIM22",0.00568546095472418,"TRIM22"
"296",-0.409153539,"10351","ABCA8",0.101920832787574,"ABCA8"
"297",0.04348864,"1036","CDO1",0.00969562837432242,"CDO1"
"298",-0.06240156,"10360","NPM3",0.00899139634972909,"NPM3"
"299",0.024911538,"10362","HMG20B",0.0106896006426926,"HMG20B"
"300",-0.012001183,"10367","MICU1",0.00365678841910533,"MICU1"
"301",-0.109431122,"10368","CACNG3",0.00728980842165843,"CACNG3"
"302",-0.019799543,"10370","CITED2",0.0443583577889771,"CITED2"
"303",0.004544693,"10371","SEMA3A",0.00494048066515946,"SEMA3A"
"304",0.026930932,"10376","TUBA1B",0.00465744350576425,"TUBA1B"
"305",0.044693288,"10379","IRF9",0.00691943893825411,"IRF9"
"306",0.480989976,"1038","CDR1",0.15156521809319,"CDR1"
"307",-0.113342475,"10381","TUBB3",0.0144650505369675,"TUBB3"
"308",-0.214395752,"10382","TUBB4A",0.0130560709169252,"TUBB4A"
"309",-0.060631891,"10383","TUBB4B",0.00698898126860263,"TUBB4B"
"310",0.125562352,"10384","BTN3A3",0.0133464626309841,"BTN3A3"
"311",0.016590679,"10388","SYCP2",0.00506894588371267,"SYCP2"
"312",-0.199032924,"10389","SCML2",0.0111437530892768,"SCML2"
"313",0.126484796,"1039","CDR2",0.0133261303248405,"CDR2"
"314",-0.056775102,"10391","CORO2B",0.00677705906590769,"CORO2B"
"315",0.129646011,"10393","ANAPC10",0.00961077167578223,"ANAPC10"
"316",0.061510342,"10395","DLC1",0.0132331649619948,"DLC1"
"317",-0.035532821,"10396","ATP8A1",0.00436130656716579,"ATP8A1"
"318",0.054596382,"10397","NDRG1",0.0335587172389176,"NDRG1"
"319",-0.056650241,"10398","MYL9",0.0106516265002664,"MYL9"
"320",0.132324627,"10399","RACK1",0.00562618454705367,"RACK1"
"321",-0.00529554,"104","ADARB1",0.0124174700912149,"ADARB1"
"322",0.132812162,"1040","CDS1",0.0141876404301448,"CDS1"
"323",-0.0619929,"10400","PEMT",0.00199886715561708,"PEMT"
"324",0.076392707,"10401","PIAS3",0.00347858546883575,"PIAS3"
"325",-0.089534638,"10402","ST3GAL6",0.00521345158554664,"ST3GAL6"
"326",0.167649068,"10403","NDC80",0.0040711622312906,"NDC80"
"327",0.05256486,"10404","CPQ",0.00399820773010997,"CPQ"
"328",0.076943401,"10406","WFDC2",0.00331197548162493,"WFDC2"
"329",-0.045383702,"10408","MYCNOS",0.0026980544437825,"MYCNOS"
"330",0.031999505,"10409","BASP1",0.00495216387244334,"BASP1"
"331",-0.084311154,"1041","CDSN",0.00547541890910131,"CDSN"
"332",-0.17658991,"10411","RAPGEF3",0.0048202881461085,"RAPGEF3"
"333",-0.025934264,"10413","YAP1",0.00327665740649226,"YAP1"
"334",0.11403665,"10418","SPON1",0.020087531933092,"SPON1"
"335",-0.085453622,"10420","TESK2",0.00593986091024174,"TESK2"
"336",-0.012550056,"10421","CD2BP2",0.00448588988844192,"CD2BP2"
"337",0.133706415,"10422","UBAC1",0.00429617253059719,"UBAC1"
"338",-0.031571344,"10423","CDIPT",0.00344516724719311,"CDIPT"
"339",0.009305907,"10424","PGRMC2",0.00545364112956514,"PGRMC2"
"340",-0.035886189,"10425","ARIH2",0.00455355166549418,"ARIH2"
"341",-0.044156032,"10426","TUBGCP3",0.013005757632536,"TUBGCP3"
"342",0.032878327,"10427","SEC24B",0.0123887735573206,"SEC24B"
"343",0.043129426,"10428","CFDP1",0.0135858983846805,"CFDP1"
"344",0.056210093,"1043","CD52",0.00791734851193413,"CD52"
"345",0.010837423,"10430","TMEM147",0.00448617978141185,"TMEM147"
"346",-0.034679521,"10432","RBM14",0.00864004716330274,"RBM14"
"347",0.023069698,"10434","LYPLA1",0.0358116187596159,"LYPLA1"
"348",-0.123876989,"10435","CDC42EP2",0.00634696501854107,"CDC42EP2"
"349",-0.014159163,"10436","EMG1",0.00277667547292728,"EMG1"
"350",-0.063283485,"10437","IFI30",0.0126607751057874,"IFI30"
"351",0.060478816,"10439","OLFM1",0.00622818263832912,"OLFM1"
"352",0.013179757,"1044","CDX1",0.00411263461632213,"CDX1"
"353",0.0863724,"10440","TIMM17A",0.00712913896380131,"TIMM17A"
"354",-0.020524185,"10443","N4BP2L2",0.0037392834222634,"N4BP2L2"
"355",-0.043730764,"10444","ZER1",0.00952502950923217,"ZER1"
"356",-0.067229897,"10445","MCRS1",0.00235457960234622,"MCRS1"
"357",-0.058829038,"10446","LRRN2",0.00607711126519412,"LRRN2"
"358",0.109059869,"10449","ACAA2",0.0165194128819691,"ACAA2"
"359",0.006965082,"1045","CDX2",0.00326964298406986,"CDX2"
"360",0.007257574,"10450","PPIE",0.003448429295705,"PPIE"
"361",0.009469202,"10452","TOMM40",0.00836654456377293,"TOMM40"
"362",-0.079103136,"10454","TAB1",0.00288703022521838,"TAB1"
"363",0.007051791,"10456","HAX1",0.0074513790729551,"HAX1"
"364",0.054964573,"10457","GPNMB",0.0778946846865776,"GPNMB"
"365",0.071616358,"10458","BAIAP2",0.00348312813773403,"BAIAP2"
"366",0.209599267,"10461","MERTK",0.0136380300613782,"MERTK"
"367",-0.04741968,"10462","CLEC10A",0.00579857065277835,"CLEC10A"
"368",0.066899051,"10463","SLC30A9",0.0158621550538732,"SLC30A9"
"369",-0.20814947,"10464","PIBF1",0.00913486111069858,"PIBF1"
"370",0.053863471,"10465","PPIH",0.0234176615160473,"PPIH"
"371",0.056417416,"10466","COG5",0.00773050481463292,"COG5"
"372",0.021708521,"10467","ZNHIT1",0.00465339150142141,"ZNHIT1"
"373",-0.010102312,"10468","FST",0.00352073675211024,"FST"
