"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_SchizEffectSize","GeneSymbol"
"359",-0.040495503,"100419702","LOC100419702",NA,NA
"360",0.004605713,"10042","HMGXB4",-0.017691641,"HMGXB4"
"361",-0.024076173,"100420228","LOC100420228",NA,NA
"362",-0.109837079,"100421341","UBE2V2P3",NA,NA
"363",0.046016013,"100421372","LOC100421372",NA,NA
"364",0.013758885,"100421436","UBE2FP1",NA,NA
"365",-0.280622363,"100421641","LOC100421641",NA,NA
"366",-0.011465146,"100422212","LOC100422212",NA,NA
"367",-0.021882694,"100422478","LOC100422478",NA,NA
"368",-0.078503192,"100422623","LOC100422623",NA,NA
"369",-0.07223589,"100422737","LINC02532",NA,NA
"370",-0.035873847,"10043","TOM1",-0.079102093,"TOM1"
"371",-0.034884507,"10044","SH2D3C",NA,NA
"372",-0.054110254,"10045","SH2D3A",NA,NA
"373",-0.013027491,"10046","MAMLD1",0.045131949,"MAMLD1"
"374",-0.017764484,"10047","CST8",NA,NA
"375",0.168089109,"10048","RANBP9",0.0209742,"RANBP9"
"376",0.083839758,"10049","DNAJB6",-0.009190504,"DNAJB6"
"377",-0.108419937,"100498859","LINC00881",NA,NA
"378",-0.070039733,"100499171","LINC00276",NA,NA
"379",0.145311937,"100499177","THAP9-AS1",0.211247035,"THAP9-AS1"
"380",-0.027058454,"100499194","LOC100499194",NA,NA
"381",-0.018756481,"100499466","LINC00674",NA,NA
"382",-0.035174027,"100499467","LINC00673",NA,NA
"383",-0.078649,"100499489","LOC100499489",NA,NA
"384",0.020071383,"1005","CDH7",NA,NA
"385",0.000542045,"10050","SLC17A4",-0.009348052,"SLC17A4"
"386",-0.040212534,"100500850","MIR3682",NA,NA
"387",-0.025799293,"100500934","LOC100500934",NA,NA
"388",-0.009075495,"100505474","LINC01539",NA,NA
"389",-0.031723928,"100505478","TEX48",NA,NA
"390",0.224197134,"100505483","PRKAG2-AS1",NA,NA
"391",-0.081671775,"100505495","PCAT19",NA,NA
"392",-0.006785792,"100505498","LOC100505498",NA,NA
"393",0.099183164,"100505501","LOC100505501",NA,NA
"394",-0.056856393,"100505515","LINC01723",NA,NA
"395",-0.032435,"100505518","EDNRB-AS1",NA,NA
"396",-0.046740579,"100505534","GPR176-DT",NA,NA
"397",-0.058778778,"100505536","ISM1-AS1",NA,NA
"398",-0.040779625,"100505538","RBM26-AS1",NA,NA
"399",-0.068550118,"100505540","SLIT1-AS1",NA,NA
"400",-0.098288135,"100505545","LINC01095",NA,NA
"401",-0.033508618,"100505547","LINC01208",NA,NA
"402",0.040279284,"100505549","LOC100505549",NA,NA
"403",-0.029036567,"100505555","LOC100505555",NA,NA
"404",-0.085170542,"100505570","LINC02708",NA,NA
"405",0.063066112,"100505573","INAFM2",NA,NA
"406",0.045242504,"100505576","LINC00672",NA,NA
"407",-0.050557978,"100505583","LINC00838",NA,NA
"408",-0.100587229,"100505592","GAPLINC",NA,NA
"409",-0.086988592,"100505601","PARD3-AS1",NA,NA
"410",0.010988052,"100505609","LINC02053",NA,NA
"411",0.136872691,"100505616","SNHG21",NA,NA
"412",-0.073407302,"100505619","LINC00919",NA,NA
"413",0.028840842,"100505621","C11orf72",NA,NA
"414",-0.012071375,"100505622","LOC100505622",NA,NA
"415",-0.020143185,"100505624","GTF3C2-AS1",NA,NA
"416",-0.05369029,"100505633","LINC01133",NA,NA
"417",0.009887682,"100505641","FGD5-AS1",NA,NA
"418",-0.028936295,"100505658","DIAPH1-AS1",NA,NA
"419",-0.135572237,"100505659","LINC00967",NA,NA
"420",-0.101140162,"100505664","LOC100505664",NA,NA
"421",-0.104414753,"100505666","DCST1-AS1",NA,NA
"422",0.01691211,"100505676","RRS1-AS1",NA,NA
"423",-0.185480792,"100505681","NAPA-AS1",NA,NA
"424",-0.008658222,"100505683","LINC01431",NA,NA
"425",-0.051673065,"100505685","LOC100505685",NA,NA
"426",0.06557079,"100505687","LINC00888",NA,NA
"427",-0.08982388,"100505696","SH3BP5-AS1",NA,NA
"428",0.019654611,"100505702","LINC01094",NA,NA
"429",-0.034761523,"100505711","LOC100505711",NA,NA
"430",0.049249887,"100505715","LOC100505715",NA,NA
"431",0.002238236,"100505716","LOC100505716",NA,NA
"432",0.018391726,"100505718","LINC01592",NA,NA
"433",0.084298774,"100505728","LOC100505728",NA,NA
"434",0.070814619,"100505738","MIR4458HG",NA,NA
"435",-0.016579274,"100505741","SPATA1",NA,NA
"436",-0.054911297,"100505746","ITGB2-AS1",NA,NA
"437",-0.025550774,"100505758","PRMT5-AS1",NA,NA
"438",0.064845065,"100505761","RPARP-AS1",0.032951222,"RPARP-AS1"
"439",-0.075787235,"100505768","LINC01364",NA,NA
"440",0.027027753,"100505774","LOC100505774",NA,NA
"441",0.007547323,"100505776","LINC01541",NA,NA
"442",0.035107185,"100505782","LOC100505782",NA,NA
"443",-0.023604101,"100505783","OSER1-DT",NA,NA
"444",0.002802237,"100505797","LOC100505797",NA,NA
"445",-0.134592754,"100505806","SNHG18",NA,NA
"446",9.85e-05,"100505811","LINC02148",NA,NA
"447",-0.077538488,"100505812","CARD8-AS1",NA,NA
"448",-0.051310014,"100505824","LINC02805",NA,NA
"449",-0.032751894,"100505826","STK4-AS1",NA,NA
"450",-0.01525135,"100505832","PROX1-AS1",NA,NA
"451",-0.078171052,"100505835","LINC01532",NA,NA
"452",-0.057665659,"100505839","SH3PXD2A-AS1",NA,NA
"453",-0.013972736,"100505841","LOC100505841",NA,NA
"454",0.002212708,"100505851","LOC100505851",NA,NA
"455",-0.028548515,"100505853","LINC01898",NA,NA
"456",-0.004656718,"100505854","APTR",NA,NA
"457",-0.059173992,"100505865","LINC00920",NA,NA
"458",-0.068553918,"100505875","LINC01088",NA,NA
"459",0.042752405,"100505876","CEBPZOS",NA,NA
"460",-0.027328705,"100505877","UBE2E2-AS1",NA,NA
"461",-0.0097307,"100505878","LINC02059",NA,NA
"462",-0.006544773,"100505879","KIF25-AS1",0.039799631,"KIF25-AS1"
"463",-0.001363248,"100505881","MAGI2-AS3",NA,NA
"464",-0.053478386,"100505890","SORCS3-AS1",NA,NA
"465",-0.017741628,"100505893","SLIT2-IT1",NA,NA
"466",0.036045599,"100505894","TMEM161B-AS1",NA,NA
"467",-0.110941168,"100505912","LOC100505912",NA,NA
"468",-0.035236757,"100505918","LOC100505918",NA,NA
"469",-0.007196195,"100505920","LINC02036",NA,NA
"470",0.045948033,"100505929","LINC01549",NA,NA
"471",-0.028757822,"100505933","ADD3-AS1",-0.050569128,"ADD3-AS1"
"472",-0.025762161,"100505938","LOC100505938",NA,NA
