"","Iwamoto_SchizEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_SchizSamplingVariance","GeneSymbol"
"214",-0.037142922,"10245","TIMM17B",0.00424228676383267,"TIMM17B"
"215",-0.026213538,"10246","SLC17A2",0.00461426568160506,"SLC17A2"
"216",0.030577178,"10247","RIDA",0.00973926002558671,"RIDA"
"217",0.020675353,"10248","POP7",0.0140241090763314,"POP7"
"218",0.037222002,"10249","GLYAT",0.00589403046589426,"GLYAT"
"219",0.0312865,"1025","CDK9",0.00793444304893984,"CDK9"
"220",0.013956326,"10252","SPRY1",0.00536940747979875,"SPRY1"
"221",0.009149841,"10253","SPRY2",0.0169790184934528,"SPRY2"
"222",-0.012492362,"10254","STAM2",0.0058737703268262,"STAM2"
"223",-0.115074978,"10255","HCG9",0.00716244695622761,"HCG9"
"224",-0.013915193,"10256","CNKSR1",0.0030915991317218,"CNKSR1"
"225",0.027759901,"10257","ABCC4",0.00234270815546282,"ABCC4"
"226",0.126603615,"1026","CDKN1A",0.0357606760071341,"CDKN1A"
"227",0.001044765,"10260","DENND4A",0.00397354898169089,"DENND4A"
"228",0.03145785,"10261","IGSF6",0.00263245340109219,"IGSF6"
"229",-0.076374392,"10262","SF3B4",0.0059173326419647,"SF3B4"
"230",-0.12228499,"10263","CDK2AP2",0.00492963989618497,"CDK2AP2"
"231",-0.031846179,"10265","IRX5",0.00540396508522916,"IRX5"
"232",-0.240121321,"10266","RAMP2",0.0074592215042556,"RAMP2"
"233",-0.078366738,"10267","RAMP1",0.0158379151302308,"RAMP1"
"234",0.028944824,"10268","RAMP3",0.00636637146014766,"RAMP3"
"235",0.002280979,"10269","ZMPSTE24",0.00478553740670966,"ZMPSTE24"
"236",0.036598731,"1027","CDKN1B",0.00395748557714099,"CDKN1B"
"237",-0.051543879,"10270","AKAP8",0.00411447027291738,"AKAP8"
"238",-0.055532299,"10272","FSTL3",0.00418461108686062,"FSTL3"
"239",0.20084079,"102724262","LOC102724262",0.0299670594844913,"LOC102724262"
"240",0.024696077,"102724748","LOC102724748",0.00270247145660489,"LOC102724748"
"241",0.005643311,"10274","STAG1",0.00459990437669904,"STAG1"
"242",0.022144576,"10276","NET1",0.00508040540650824,"NET1"
"243",-0.054792029,"10277","UBE4B",0.00189757514648015,"UBE4B"
"244",-0.391613542,"10278","EFS",0.029241276136362,"EFS"
"245",0.093481051,"10279","PRSS16",0.00592699830488313,"PRSS16"
"246",-0.439056984,"1028","CDKN1C",0.0582904184653377,"CDKN1C"
"247",-0.059994417,"10280","SIGMAR1",0.00414666445700482,"SIGMAR1"
"248",-0.008375478,"10281","DSCR4",0.00820447868101966,"DSCR4"
"249",0.031901053,"10282","BET1",0.00617511913308052,"BET1"
"250",0.033684015,"10284","SAP18",0.00611228491008906,"SAP18"
"251",0.060961473,"10285","SMNDC1",0.00592171218182791,"SMNDC1"
"252",0.101966504,"10286","BCAS2",0.0250046576527525,"BCAS2"
"253",0.016231012,"10287","RGS19",0.00313317663631508,"RGS19"
"254",-0.092939632,"10288","LILRB2",0.0034457511088425,"LILRB2"
"255",0.351006619,"10289","EIF1B",0.019736910206834,"EIF1B"
"256",0.029285793,"1029","CDKN2A",0.00418140370133798,"CDKN2A"
"257",0.172984333,"10290","SPEG",0.00603116613087234,"SPEG"
"258",0.029101784,"10291","SF3A1",0.00656568120383257,"SF3A1"
"259",0.045360367,"10293","TRAIP",0.00517834298400001,"TRAIP"
"260",0.059179311,"10294","DNAJA2",0.00531685258087585,"DNAJA2"
"261",0.008853739,"10295","BCKDK",0.00515069811942717,"BCKDK"
"262",0.067113489,"10296","MAEA",0.00780401456250527,"MAEA"
"263",0.120035155,"10297","APC2",0.00758569556731605,"APC2"
"264",-0.054649896,"10298","PAK4",0.00349396742482445,"PAK4"
"265",0.055513819,"10299","MARCHF6",0.00446140031438336,"MARCHF6"
"266",0.043040581,"103","ADAR",0.00561706218337344,"ADAR"
"267",-0.112236108,"1030","CDKN2B",0.00620957311899227,"CDKN2B"
"268",-0.065062361,"10300","KATNB1",0.00366962524621686,"KATNB1"
"269",0.063767067,"10301","DLEU1",0.00798294853151553,"DLEU1"
"270",0.133388531,"10302","SNAPC5",0.00858800081275563,"SNAPC5"
"271",-0.041528654,"10307","APBB3",0.00455353234086121,"APBB3"
"272",-0.016331081,"10308","ZNF267",0.00512659185975847,"ZNF267"
"273",0.05055099,"10309","CCNO",0.010847730069527,"CCNO"
"274",-0.055145746,"1031","CDKN2C",0.00296741148602313,"CDKN2C"
"275",0.035527741,"10311","VPS26C",0.0036409770866876,"VPS26C"
"276",0.128196812,"10312","TCIRG1",0.00543587842433121,"TCIRG1"
"277",0.020643773,"10314","LANCL1",0.0118856562815665,"LANCL1"
"278",0.043222313,"10317","B3GALT5",0.00413174702488201,"B3GALT5"
"279",0.019613168,"10318","TNIP1",0.00190621114384637,"TNIP1"
"280",0.028662405,"1032","CDKN2D",0.00556388952188056,"CDKN2D"
"281",-0.034651053,"10320","IKZF1",0.00333771221288029,"IKZF1"
"282",0.010317939,"10321","CRISP3",0.00411074501985322,"CRISP3"
"283",0.04527557,"10322","SMYD5",0.0024798598053522,"SMYD5"
"284",-0.033108648,"10325","RRAGB",0.00795686559534683,"RRAGB"
"285",-0.023873185,"10326","SIRPB1",0.00884783975918868,"SIRPB1"
"286",0.008038041,"10327","AKR1A1",0.00418875539793236,"AKR1A1"
"287",-0.000179479,"10329","RXYLT1",0.00847113176075623,"RXYLT1"
"288",0.080286996,"1033","CDKN3",0.00546523247868647,"CDKN3"
"289",-0.087741136,"10330","CNPY2",0.00817312654852838,"CNPY2"
"290",-0.086612213,"10331","B3GNT3",0.00366263596709389,"B3GNT3"
"291",0.050367761,"10332","CLEC4M",0.00874151463988921,"CLEC4M"
"292",-0.00886741,"10333","TLR6",0.00419735331984138,"TLR6"
"293",0.07186875,"103344931","LOC103344931",0.0081089446367526,"LOC103344931"
"294",0.025939603,"10336","PCGF3",0.00282885655403087,"PCGF3"
"295",0.000883342,"10346","TRIM22",0.00493199732893541,"TRIM22"
"296",-0.566586445,"10351","ABCA8",0.0884138118393914,"ABCA8"
